,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
8,pt,0,0.20490924827754498,0.00048771032015793025,5030,5153,75.0,8,0.009908448,0.00038704264,0.016126776,8
9,pt,0,0.20490924827754498,0.00048771032015793025,4869,5062,105.0,9,0.0100313015,0.00062272133,0.025946721,9
10,pt,0,0.20490924827754498,0.00048771032015793025,6682,6707,135.0,10,0.008642205,5.9830316e-05,0.0024929298,10
11,pt,0,0.20490924827754498,0.00048771032015793025,10138,10116,165.0,11,0.0070265825,3.4804973e-05,-0.0014502072,11
0,pt,1,0.28064510971307755,0.20490924827754498,11679,11947,-165.0,0,0.006505117,0.00036347454,0.015144773,12
1,pt,1,0.28064510971307755,0.20490924827754498,6550,6393,-135.0,1,0.008788719,0.0003886817,-0.016195072,13
2,pt,1,0.28064510971307755,0.20490924827754498,5855,5593,-105.0,2,0.009341839,0.00073333277,-0.030555531,14
3,pt,1,0.28064510971307755,0.20490924827754498,6419,5800,-75.0,3,0.009025817,0.0016232462,-0.06763526,15
4,pt,1,0.28064510971307755,0.20490924827754498,3021,2949,-45.0,4,0.012940663,0.0003864449,-0.01610187,16
5,pt,1,0.28064510971307755,0.20490924827754498,319,309,-15.0,5,0.039895326,0.00051023444,-0.021259768,17
6,pt,1,0.28064510971307755,0.20490924827754498,319,298,15.0,6,0.040216897,0.0010905951,-0.045441464,18
7,pt,1,0.28064510971307755,0.20490924827754498,3047,3179,45.0,7,0.012668389,0.00067935104,0.028306292,19
8,pt,1,0.28064510971307755,0.20490924827754498,6040,6385,75.0,8,0.008965059,0.00088971754,0.037071563,20
9,pt,1,0.28064510971307755,0.20490924827754498,5710,6024,105.0,9,0.009225706,0.0008574582,0.035727426,21
10,pt,1,0.28064510971307755,0.20490924827754498,6447,6524,135.0,10,0.008780103,0.00019021585,0.00792566,22
11,pt,1,0.28064510971307755,0.20490924827754498,11572,11965,165.0,11,0.0065165316,0.000535021,0.022292541,23
0,pt,2,0.34014924988150597,0.28064510971307755,11533,11328,-165.0,0,0.0066133463,0.0002873347,-0.011972278,24
1,pt,2,0.34014924988150597,0.28064510971307755,6058,5769,-135.0,1,0.009190338,0.00078298355,-0.032624315,25
2,pt,2,0.34014924988150597,0.28064510971307755,6761,6378,-105.0,2,0.008717455,0.0009340409,-0.03891837,26
3,pt,2,0.34014924988150597,0.28064510971307755,5970,5770,-75.0,3,0.009226853,0.0005458726,-0.022744693,27
4,pt,2,0.34014924988150597,0.28064510971307755,3226,3114,-45.0,4,0.012555515,0.0005660544,-0.0235856,28
5,pt,2,0.34014924988150597,0.28064510971307755,789,808,-15.0,5,0.025020314,0.00038122214,0.015884256,29
6,pt,2,0.34014924988150597,0.28064510971307755,733,783,15.0,6,0.025658363,0.0010568181,0.044034086,30
7,pt,2,0.34014924988150597,0.28064510971307755,3105,3279,45.0,7,0.012507365,0.0008733449,0.03638937,31
8,pt,2,0.34014924988150597,0.28064510971307755,5742,6046,75.0,8,0.00920497,0.00082634785,0.03443116,32
9,pt,2,0.34014924988150597,0.28064510971307755,6514,6543,105.0,9,0.0087513765,7.116788e-05,0.0029653283,33
10,pt,2,0.34014924988150597,0.28064510971307755,5847,5806,135.0,10,0.009263527,0.00011273935,-0.004697473,34
11,pt,2,0.34014924988150597,0.28064510971307755,10994,11427,165.0,11,0.0066761808,0.00061881717,0.025784047,35
0,pt,3,0.3953067660331726,0.34014924988150597,10988,11063,-165.0,0,0.006734128,0.000108983906,0.004540996,36
1,pt,3,0.3953067660331726,0.34014924988150597,5754,5620,-135.0,1,0.009375397,0.00037750354,-0.015729314,37
2,pt,3,0.3953067660331726,0.34014924988150597,7154,6892,-105.0,2,0.008435075,0.00059769285,-0.02490387,38
3,pt,3,0.3953067660331726,0.34014924988150597,5585,5332,-75.0,3,0.0095662195,0.0007425858,-0.030941075,39
